Nr Lochy;Rasa;Aktualny miot;Aktualna liczba potomstwa lochy oceniona przyżyciowo;Aktualny Blup ZWH;Miot dla max ZWH;Liczba potomstwa lochy ocenianych przyżyciowo dla MAX ZWH;Max ZWH;Blup przyr. dz. dla max liczby potom.;Blup % mięsa dla max liczby potom.;Blup dla liczby prosiąt urodzonych;Blup dla liczby prosiąt odchowanych;Max liczba potomstwa;ZWH dla max liczby potom.
06478066820;10;5;4;8.2814;5;4;8.3422;-0.32;1.2;-3.06;-2.91;4;8.3422
26034004719;10;7;6;8.2268;1;4;9.9856;0.37;-0.41;-2.5;-2.22;6;8.6408
06296004720;10;5;3;8.7262;4;2;9.0228;-0.41;-1.67;-1.24;-1.63;3;8.7266
26034014221;10;2;4;8.2042;1;4;8.7532;-0.49;0.63;-2.05;-2.05;4;8.7532
32246119718;10;7;1;8.53;1;3;9.784;0.19;-0.61;-1.94;-1.97;7;8.7714
26552009021;10;3;5;8.8506;3;5;8.8506;0.12;0.02;-1.99;-1.96;5;8.8506
26034014021;10;2;5;8.3942;1;5;8.8714;-0.44;0.72;-2.03;-1.84;5;8.8714
26034014521;10;2;2;8.4256;1;2;8.9024;-0.22;1.6;-2.14;-2.18;2;8.9024
28590010620;10;6;1;8.9496;6;1;8.969;-0.9;0.16;-1.59;-1.32;1;8.969
26552034618;10;8;7;9.5392;8;7;9.5392;-0.72;0.83;-1.27;-1.77;14;8.988
26229002919;10;6;4;8.98;6;4;9.0104;-0.54;0.1;-0.9;-1.7;4;9.0104
06349025420;10;5;6;9.0516;4;6;9.067;0.56;-1.29;-1.12;-1.57;6;9.067
26552010020;10;4;5;9.1088;3;6;9.3062;-0.48;0.34;-1.25;-1.49;7;9.0884
28590050419;10;6;2;9.1374;6;1;9.3196;-0.06;0.85;-1.86;-1.52;2;9.1484
26229001820;10;4;4;9.0926;3;3;9.5662;-0.13;0.0;-1.12;-1.33;4;9.2086
22063044620;10;4;8;9.1122;2;5;9.682;0.09;-1.22;-0.61;-1.19;15;9.2168
22063035519;10;6;6;9.5376;4;7;9.7316;0.21;-1.49;-0.51;-1.09;14;9.2624
26229002719;10;6;4;9.2072;2;2;9.3584;-0.53;0.43;-0.81;-1.25;4;9.2708
22063046020;10;4;8;9.2186;2;6;9.3554;0.03;-0.38;-0.76;-1.27;13;9.2762
06501139420;10;3;6;9.3036;2;6;9.3318;-0.1;-0.91;-0.53;-0.96;6;9.3318
26034000918;10;9;6;8.9782;2;3;10.4482;0.18;0.49;-2.17;-0.94;11;9.3362
06296031820;10;4;5;9.0018;2;5;10.0644;-0.05;0.57;-0.45;-1.56;10;9.343
06349025220;10;5;5;9.3418;5;5;9.3536;0.38;-1.01;-1.1;-0.9;5;9.3536
06349025720;10;5;3;9.3342;5;3;9.3594;-0.85;2.24;-1.36;-1.31;3;9.3594
22749002420;10;6;12;9.2334;6;12;9.373;0.31;0.42;-1.89;-1.02;12;9.373
06072072920;10;4;1;9.3714;4;1;9.3916;-0.16;-0.3;-1.5;-0.6;1;9.3916
26307001520;10;6;3;9.3948;5;3;9.4042;-0.51;-0.24;-0.76;-0.71;3;9.4042
06072004919;10;7;1;9.4168;7;1;9.4168;-0.88;-0.96;-0.91;-0.13;1;9.4168
32246051421;10;2;2;9.4246;2;2;9.4324;-0.36;1.08;-1.02;-1.12;2;9.4324
26229002419;10;6;5;9.4352;6;5;9.4646;-0.01;-0.21;-0.48;-1.02;7;9.4492
26229002319;10;6;3;8.9612;2;1;9.7926;0.11;0.32;-0.64;-1.21;5;9.4542
26229002819;10;6;4;9.4236;6;4;9.461;-0.29;1.03;-0.91;-1.12;4;9.461
06296029621;10;2;2;9.3402;1;2;9.462;0.7;-1.36;-0.73;-0.85;2;9.462
26229001720;10;4;3;9.1588;2;5;9.4658;0.09;-0.08;-0.8;-0.95;5;9.4658
22063044820;10;4;6;9.3016;3;6;9.6052;-0.04;-0.22;-0.47;-0.92;13;9.4842
26552018018;10;8;9;9.444;8;9;9.4902;0.02;-0.61;-0.66;-0.71;9;9.4902
26229002420;10;4;3;9.4462;2;4;9.5252;-0.39;0.25;-0.38;-0.84;4;9.5252
22063047218;10;6;6;9.3288;1;6;9.9124;0.18;-0.53;-0.16;-0.95;11;9.5306
22063086017;10;9;12;9.3716;7;8;9.646;-0.72;0.91;-0.34;-0.9;16;9.5336
28590010520;10;6;2;9.5388;5;2;9.5858;0.25;-0.47;-0.91;-0.56;2;9.5858
18053000922;10;2;1;9.5022;2;1;9.5962;-0.38;-0.12;-0.93;-0.3;1;9.5962
26229002619;10;6;5;9.5608;6;5;9.5984;-0.35;0.7;-0.1;-0.98;5;9.5984
26617107821;10;2;3;9.5762;2;3;9.6086;0.31;-0.17;-0.57;-0.8;3;9.6086
26552005921;10;2;4;9.216;2;4;9.6218;0.13;0.1;-0.87;-0.64;4;9.6218
18053011820;10;5;1;9.2304;3;3;9.626;-0.42;0.64;-0.57;-0.65;3;9.626
26617139620;10;4;2;9.3962;2;2;9.9864;-1.38;0.46;-0.18;-0.2;6;9.626
06072044918;10;9;5;9.634;4;2;9.8404;-0.81;0.89;-1.01;-0.27;5;9.6528
26552016320;10;4;9;9.5692;4;9;9.6552;0.06;0.44;-0.8;-0.68;9;9.6552
26034004619;10;7;4;7.8868;2;5;9.6566;-0.23;0.49;-0.87;-0.5;5;9.6566
06501052520;10;4;4;9.6778;4;4;9.6778;0.55;0.09;-0.13;-1.06;4;9.6778
06072066519;10;7;1;9.6932;7;1;9.708;0.2;0.62;-1.32;-0.48;1;9.708
02510003421;10;2;1;9.4486;1;1;9.7778;0.25;0.13;-0.82;-0.37;1;9.7778
26263006521;10;2;4;9.7812;2;4;9.7812;0.15;-0.37;-0.62;-0.2;4;9.7812
26552006421;10;2;7;9.8196;2;3;10.2796;-0.6;0.85;-0.16;-0.32;7;9.8288
26617124321;10;2;4;9.725;2;4;9.8338;0.43;0.24;-0.38;-0.57;4;9.8338
26552018421;10;2;4;9.8438;2;4;9.8438;0.1;1.12;-0.62;-0.59;4;9.8438
26307001220;10;6;6;9.8336;6;6;9.8566;0.53;0.33;-1.05;-0.32;6;9.8566
06072104218;10;8;1;9.8566;8;1;9.8802;0.72;0.29;-1.16;-0.31;1;9.8802
06501068720;10;4;2;9.969;4;1;10.1538;0.66;0.04;-0.31;-0.47;4;9.9116
26263000720;10;5;1;9.6274;3;3;9.9546;0.17;1.67;-0.89;-0.46;3;9.9546
02510003121;10;2;3;9.8936;2;3;9.9746;0.16;0.64;-0.76;-0.07;3;9.9746
02510003721;10;2;1;9.888;2;1;9.9888;0.18;0.53;-0.61;-0.07;1;9.9888
26617005619;10;7;5;9.9292;3;3;10.7716;0.64;-0.09;-0.22;-0.25;7;9.9946
08024024519;20;6;2;6.5168;1;3;8.6898;-0.09;0.4;-3.06;-3.41;4;8.0594
08024020120;20;4;6;8.528;1;2;9.3094;-0.11;-1.78;-1.23;-2.84;10;8.2746
12615020819;20;7;5;9.0378;1;4;9.1404;0.52;-1.52;-1.78;-2.81;8;8.381
02442033420;20;4;7;8.4104;1;3;9.2198;0.37;-1.22;-2.53;-2.44;7;8.4134
12615013821;20;3;4;8.431;3;4;8.4744;-0.05;0.29;-1.62;-3.02;4;8.4744
02442046918;20;7;1;8.5516;4;1;8.9962;0.95;0.13;-3.26;-2.65;5;8.549
24041039420;20;3;1;8.1298;2;1;8.5596;-0.14;-0.85;-2.37;-2.01;1;8.5596
02442030720;20;4;5;8.7928;3;2;8.8446;0.37;-0.76;-1.22;-2.81;7;8.5674
12615013621;20;2;10;8.7108;2;4;8.8544;-0.11;-0.44;-1.09;-2.54;14;8.6402
24041039820;20;2;7;9.0438;2;7;9.0916;0.06;-2.63;-1.95;-1.41;9;8.6504
26086025420;20;5;2;8.6776;5;2;8.6776;-0.06;-0.78;-1.3;-2.26;2;8.6776
10194029419;20;3;3;8.3146;2;3;8.6986;0.03;-1.77;-1.73;-1.7;3;8.6986
06386029318;20;8;1;8.6986;8;1;8.7082;-0.33;-0.39;-2.05;-1.86;1;8.7082
08024024719;20;5;4;8.0018;1;3;9.0332;0.07;-0.26;-2.04;-2.1;4;8.726
24041003419;20;7;1;9.0204;3;1;9.4542;-0.07;-0.28;-2.27;-1.91;5;8.7276
24041015319;20;7;4;8.561;3;1;9.3134;-0.02;0.33;-2.68;-1.95;8;8.7466
12742004220;20;4;4;8.9512;4;4;9.157;-0.52;-0.4;-1.7;-1.64;5;8.8164
24041028520;20;4;3;8.7796;3;4;9.0804;-0.14;-3.11;-1.75;-0.74;7;8.843
10195003921;20;4;1;8.9694;4;1;8.9822;-0.11;-0.16;-1.85;-1.74;2;8.8842
12615017021;20;3;3;9.1082;1;6;9.1506;1.04;-1.12;-1.53;-1.99;9;8.9592
02442045121;20;2;1;8.5552;1;1;8.9626;0.07;-0.15;-2.27;-1.48;1;8.9626
20250006821;20;3;3;8.9694;3;3;8.9698;-0.11;-0.72;-1.6;-1.43;3;8.9698
26086021720;20;4;3;8.9746;4;3;8.9746;-0.46;0.12;-0.85;-1.86;3;8.9746
06386127517;20;8;2;9.1678;8;2;9.1734;0.03;-0.21;-2.01;-1.48;4;8.9902
02442030019;20;7;1;9.1658;2;1;9.6836;-0.23;-0.36;-2.05;-1.25;10;8.9932
06118076420;20;5;3;8.839;4;1;9.299;-0.42;-0.27;-0.93;-1.55;4;9.0376
06069030118;20;8;1;8.8156;6;5;9.0456;1.14;-0.49;-1.72;-2.0;5;9.0456
06031088017;20;10;5;8.8322;2;1;10.1422;1.01;-2.1;-0.88;-1.64;5;9.0592
06075060420;20;4;2;8.6234;1;1;10.0144;-1.01;0.06;-0.77;-1.34;3;9.0658
26093023720;20;5;4;8.9172;2;2;9.0802;-0.14;0.28;-1.56;-1.57;5;9.071
24041010018;20;9;2;8.8342;3;2;10.0398;0.04;-0.92;-2.07;-0.99;5;9.074
06069101319;20;4;6;9.1516;1;1;9.6716;-0.07;0.25;-1.92;-1.4;8;9.0896
02442051019;20;6;6;9.0972;2;4;9.546;-0.91;-0.66;-1.73;-0.63;11;9.1
24041015019;20;7;2;8.8294;6;2;9.2922;-0.27;0.67;-2.06;-1.3;5;9.1256
06386177917;20;8;5;9.1336;8;5;9.1352;0.08;0.07;-1.59;-1.45;5;9.1352
06031001621;20;3;3;8.97;1;1;9.3456;-0.1;-1.0;-0.67;-1.33;4;9.1368
24041027620;20;4;1;8.9792;2;2;9.164;-0.44;0.63;-1.67;-1.32;3;9.1402
06069076320;20;4;4;9.0656;1;2;9.7068;-0.76;0.2;-1.3;-1.13;7;9.141
26086081619;20;7;5;9.0232;2;3;9.3684;0.36;0.21;-1.05;-1.88;7;9.1414
10195011321;20;2;2;9.1218;2;2;9.1488;-1.22;1.37;-1.45;-1.23;2;9.1488
06031023020;20;6;2;9.1578;6;2;9.1578;-0.1;-0.4;-0.69;-1.5;2;9.1578
02442043518;20;8;6;9.3908;2;1;9.768;0.32;-0.38;-0.95;-1.63;10;9.1604
06118007021;20;4;1;8.9682;2;1;9.5176;-0.62;-0.75;-0.66;-1.06;2;9.1672
06031075919;20;6;5;9.179;3;4;9.6264;-0.5;-0.95;-0.74;-0.99;5;9.179
26086066419;20;6;2;9.1274;3;1;9.855;0.48;-0.04;-1.32;-1.62;2;9.1908
12615048520;20;3;6;9.074;2;5;9.2566;-0.47;0.74;-0.24;-1.83;11;9.1938
10194023419;20;6;3;9.3962;3;4;9.8724;0.3;-0.22;-2.21;-1.03;5;9.2064
02442024620;20;4;9;9.1048;1;11;9.5944;0.26;0.65;-2.69;-1.13;14;9.2076
06118117518;20;9;1;9.4172;4;1;9.6316;-0.08;-0.37;-1.18;-1.17;2;9.2178
02509056721;20;2;2;9.2186;2;2;9.2186;0.96;-0.2;-1.92;-1.51;2;9.2186
02509056621;20;2;3;9.2198;2;3;9.2198;0.21;0.22;-1.66;-1.35;3;9.2198
26615029319;20;7;7;9.1706;2;3;9.9236;0.14;-0.97;-1.04;-1.11;10;9.225
