Nr Knura;Rasa;Liczba kojarzeń;Numer kolejnej oceny;Aktualna liczba potom.;Aktualna liczba kojarzeń;Aktualny Blup ZWH;Max liczba potom.;Liczba kojarzeń dla max liczby potom.;ZWH dla max liczby potom.;Liczba potom. dla max ZWH;Liczba kojarzeń dla max ZWH;Max ZWH
06501072018;10;21;57;11;2;10.7743;17;3;9.0406;9;1;10.9698
06501049620;10;16;54;12;3;10.056;35;9;9.2234;12;4;10.5184
06501075520;10;15;30;14;3;9.4464;19;4;9.3092;5;1;11.615
IB4827/20;10;45;65;48;13;10.8202;56;17;9.4818;48;13;10.8202
06501163417;10;12;4;6;3;9.5894;6;3;9.5894;6;3;9.5894
06501012018;10;85;106;38;10;9.5677;38;10;9.5994;16;3;9.8807
I845110746;10;70;140;5;2;10.6364;96;20;9.6818;5;2;10.7254
06501022921;10;5;20;12;2;9.7756;12;2;9.796;12;2;9.796
06501056218;10;21;29;6;1;10.5822;17;4;9.8284;6;1;10.5822
20199040820;10;23;21;10;3;9.7898;10;3;10.0208;4;1;10.149
20199036119;10;62;72;30;11;10.0438;30;11;10.0718;17;8;10.1658
I7528/19;10;124;139;33;13;10.5435;88;26;10.0761;59;19;10.8972
20199016118;10;15;95;8;2;10.8967;10;2;10.1313;7;3;11.7486
26285081117;10;55;103;5;1;9.4379;33;5;10.1392;4;1;10.3157
I148/20;10;24;67;12;4;9.8367;23;8;10.171;23;8;10.171
06501095018;10;27;75;8;2;9.7896;8;2;10.1735;6;3;10.4978
I130LW/20;10;19;32;14;3;9.834;21;5;10.1938;21;5;10.1938
06501016219;10;36;119;8;2;9.1336;35;7;10.1964;28;6;10.2324
06478035121;10;51;39;40;12;10.2692;42;13;10.2238;1;1;10.3256
06501001621;10;5;25;12;1;10.1504;14;2;10.3044;2;1;10.4264
06478058021;10;6;28;1;1;9.991;7;1;10.3438;2;1;10.7282
06501125819;10;11;22;6;1;9.5422;7;3;10.3688;7;3;10.3688
20199045319;10;14;6;2;2;10.3714;2;2;10.3902;2;2;10.3902
06501089019;10;24;36;28;7;10.305;28;7;10.4126;20;3;10.5252
06501017219;10;21;60;8;2;10.3354;23;6;10.4392;5;1;10.5196
IB4826/20;10;27;55;10;1;9.6287;34;12;10.4442;6;3;10.4558
06501012721;10;18;24;28;7;10.4854;28;7;10.5054;23;3;10.7612
20199037019;10;13;17;28;8;10.1244;28;8;10.5906;10;7;10.8138
20199025621;10;5;3;13;2;10.6156;13;2;10.6156;7;2;10.6776
06501012421;10;2;22;5;1;10.5374;5;1;10.643;5;1;10.643
26613038520;10;103;51;40;12;10.5631;74;19;10.7362;3;2;11.2964
I1468/20;10;49;70;6;2;11.1822;87;17;10.8732;6;2;11.218
I1453/21;10;16;40;21;6;10.8796;21;6;10.9076;21;6;10.9076
IB4774/20;10;79;64;51;16;9.8901;100;27;10.9207;91;27;10.9332
26613081820;10;40;40;27;10;10.836;37;11;10.923;24;4;11.001
06501124219;10;17;73;16;3;10.9046;16;3;10.9452;10;2;11.1014
20199037319;10;16;61;2;2;10.674;6;2;10.9586;1;1;10.9688
06501119618;10;22;36;5;2;10.6758;23;7;10.9742;4;1;11.1586
06501141419;10;17;58;9;3;9.7868;39;8;11.0716;33;7;11.073
I774/20;10;25;58;63;12;11.149;63;12;11.149;62;10;11.254
06501173019;10;3;3;4;1;11.1266;4;1;11.1514;4;1;11.1514
20199038220;10;9;46;7;1;9.8433;12;3;11.1568;12;3;11.1568
06501145419;10;34;63;29;12;11.2414;36;10;11.1704;27;8;11.5232
06501070620;10;9;52;2;1;11.012;3;1;11.1968;3;1;11.1968
26613042221;10;38;10;39;8;11.214;39;8;11.294;4;4;11.944
06501100019;10;35;87;48;13;11.2846;48;13;11.2958;1;1;11.5126
26613040020;10;107;36;71;21;11.3216;71;21;11.3216;64;21;11.354
26570057419;10;241;103;52;6;12.1267;117;14;11.4132;66;9;12.1297
26614005217;20;9;5;28;6;8.6506;28;6;8.737;28;6;8.737
I130/20;20;95;93;17;7;10.3727;82;23;9.2068;11;6;10.4809
20244069719;20;21;119;3;1;9.486;25;8;9.3794;6;1;10.3046
02509088418;20;36;56;29;4;9.4024;44;8;9.381;31;6;9.4506
I2557672/20;20;107;77;47;17;9.3366;49;19;9.4106;1;1;10.3633
32168066917;20;19;88;5;2;9.4403;5;2;9.4403;2;1;9.9614
26614055220;20;8;26;9;3;9.3116;12;3;9.471;3;1;9.7202
26614048419;20;9;17;2;1;9.459;2;1;9.4828;2;1;9.4828
26614004017;20;34;25;17;5;9.4969;17;5;9.4992;17;5;9.4992
I2560733/20;20;74;70;46;12;9.6272;77;16;9.5064;46;12;9.6272
26614026020;20;15;24;27;9;9.2528;27;9;9.5716;8;5;9.8936
20244082917;20;74;105;10;4;10.1772;30;19;9.5892;2;1;10.2468
06224069420;20;42;37;17;6;9.348;17;6;9.6669;3;3;11.7108
20244065819;20;16;72;4;1;10.1251;32;12;9.7722;4;1;10.2297
I312/20;20;82;68;12;2;9.8864;50;8;9.8146;19;4;10.104
20244071620;20;35;49;49;4;10.3849;69;6;9.8866;29;3;10.4197
26614043816;20;25;71;7;2;9.0684;9;2;9.919;9;2;9.919
26614066520;20;4;24;11;2;9.6708;11;2;9.9198;7;2;10.2628
06011046621;20;21;15;18;7;9.9222;18;7;9.9222;18;7;9.9222
32168048317;20;32;35;14;3;10.2622;35;10;9.9408;14;3;10.2688
06224101219;20;14;48;16;2;9.79;25;2;9.9478;8;1;10.9728
I6410559717;20;75;164;16;4;10.8883;58;17;9.948;2;1;11.0329
